date,value
1955-02,134886
1955-05,134924
1955-08,137592
1955-11,136813
1956-02,138343
1956-05,138200
1956-08,138030
1956-11,138850
1957-02,141445
1957-05,141405
1957-08,140528
1957-11,140929
1958-02,144031
1958-05,140418
1958-08,143508
1958-11,143947
1959-02,144808
1959-05,147145
1959-08,150275
1959-11,154093
1960-02,157940
1960-05,156809
1960-08,159143
1960-11,160135
1961-02,162724
1961-05,163392
1961-08,162575
1961-11,162283
1962-02,162993
1962-05,164524
1962-08,165498
1962-11,164936
1963-02,165693
1963-05,172858
1963-08,173616
1963-11,177557
1964-02,178735
1964-05,182076
1964-08,182725
1964-11,185535
1965-02,185031
1965-05,185142
1965-08,186556
1965-11,187757
1966-02,188064
1966-05,189153
1966-08,189791
1966-11,189028
1967-02,191574
1967-05,194221
1967-08,195025
1967-11,196039
1968-02,203280
1968-05,202430
1968-08,206359
1968-11,207170
1969-02,206754
1969-05,208313
1969-08,209436
1969-11,210400
1970-02,209117
1970-05,214106
1970-08,216150
1970-11,218098
1971-02,217082
1971-05,220973
1971-08,224771
1971-11,225659
1972-02,226104
1972-05,232083
1972-08,232700
1972-11,236339
1973-02,247921
1973-05,248384
1973-08,246082
1973-11,245140
1974-02,238319
1974-05,241752
1974-08,243197
1974-11,239612
1975-02,239702
1975-05,235807
1975-08,235105
1975-11,237747
1976-02,241709
1976-05,241380
1976-08,244367
1976-11,249511
1977-02,249671
1977-05,247936
1977-08,249578
1977-11,253819
1978-02,256193
1978-05,259127
1978-08,262661
1978-11,264972
1979-02,264185
1979-05,275695
1979-08,269599
1979-11,272359
1980-02,269776
1980-05,264448
1980-08,264139
1980-11,261297
1981-02,261131
1981-05,261739
1981-08,264602
1981-11,264902
1982-02,265408
1982-05,268196
1982-08,268798
1982-11,270653
1983-02,275877
1983-05,277790
1983-08,280996
1983-11,283096
1984-02,285469
1984-05,282605
1984-08,284676
1984-11,289829
1985-02,292612
1985-05,298873
1985-08,298814
1985-11,298979
1986-02,302117
1986-05,304797
1986-08,306708
1986-11,312615
1987-02,314804
1987-05,319478
1987-08,327346
1987-11,331075
1988-02,336442
1988-05,338186
1988-08,342414
1988-11,345162
1989-02,346836
1989-05,348997
1989-08,349572
1989-11,349523
1990-02,351299
1990-05,353663
1990-08,349780
1990-11,348006
1991-02,346292
1991-05,345892
1991-08,345216
1991-11,345643
1992-02,345523
1992-05,344987
1992-08,346628
1992-11,349299
1993-02,351046
1993-05,352612
1993-08,355841
1993-11,358264
1994-02,361793
1994-05,365109
1994-08,368798
1994-11,370401
1995-02,372307
1995-05,373090
1995-08,377249
1995-11,378442
1996-02,380976
1996-05,382146
1996-08,385671
1996-11,391053
1997-02,397303
1997-05,401790
1997-08,405233
1997-11,411352
1998-02,414377
1998-05,416909
1998-08,418294
1998-11,421074
1999-02,423875
1999-05,425920
1999-08,432860
1999-11,439093
2000-02,444540
2000-05,447825
2000-08,450688
2000-11,453447
2001-02,457680
2001-05,459620
2001-08,462016
2001-11,463404
2002-02,464698
2002-05,466935
2002-08,470277
2002-11,473899
2003-02,477357
2003-05,481552
2003-08,485973
2003-11,490059
2004-02,492014
2004-05,494824
2004-08,496642
2004-11,499020
2005-02,502702
2005-05,506906
2005-08,511132
2005-11,515935
2006-02,518495
2006-05,520318
2006-08,521780
2006-11,524569
2007-02,529398
2007-05,533187
2007-08,537052
2007-11,540258
2008-02,542804
2008-05,539918
2008-08,531619
2008-11,520230
2009-02,509646
2009-05,508009
2009-08,508398
2009-11,509889
2010-02,514595
2010-05,520128
2010-08,523173
2010-11,523515
2011-02,524955
2011-05,525418
2011-08,527034
2011-11,527698
2012-02,532300
2012-05,531663
2012-08,536720
2012-11,536188
2013-02,537974
2013-05,541586
2013-08,546064
2013-11,549709
2014-02,554183
2014-05,559331
2014-08,563694
2014-11,567619
2015-02,569150
2015-05,572673
2015-08,574836
2015-11,578068
2016-02,580110
2016-05,583383
2016-08,585856
2016-11,589476
2017-02,594423
2017-05,598176
2017-08,601961
2017-11,606396
2018-02,606785
2018-05,607775
2018-08,609653
2018-11,610481
2019-02,614936
2019-05,616853
2019-08,621227
2019-11,621229
2020-02,604719
2020-05,481769
2020-08,562648
2020-11,570338
2021-02,564411
2021-05,605353
2021-08,615459
2021-11,624592
2022-02,629149
2022-05,631258
2022-08,631977
2022-11,634044
2023-02,634612
2023-05,634624
2023-08,633956
2023-11,631825
2024-02,636222
2024-05,639095
