year,gdp_pc
1810,744.0
1811,711.0
1812,699.0
1813,705.0
1814,709.0
1815,712.0
1816,689.0
1817,681.0
1818,718.0
1819,687.0
1820,718.0
1821,702.0
1822,724.0
1823,696.0
1824,685.0
1825,744.0
1826,771.0
1827,788.0
1828,794.0
1829,814.0
1830,806.0
1831,810.0
1832,834.0
1833,838.0
1834,857.0
1835,875.0
1836,865.0
1837,897.0
1838,901.0
1839,892.0
1840,942.0
1841,942.0
1842,950.0
1843,968.0
1844,974.0
1845,996.0
1846,1021.0
1847,1031.0
1848,1071.0
1849,1132.0
1850,1178.0
1851,1214.0
1852,1224.0
1853,1190.0
1854,1209.0
1855,1243.0
1856,1244.0
1857,1274.0
1858,1320.0
1859,1360.0
1860,1384.0
1861,1373.0
1862,1354.0
1863,1392.0
1864,1454.0
1865,1492.0
1866,1526.0
1867,1452.0
1868,1494.0
1869,1613.0
1870,1629.0
1871,1601.0
1872,1665.0
1873,1766.0
1874,1704.0
1875,1787.0
1876,1733.0
1877,1664.0
1878,1703.0
1879,1935.0
1880,2108.0
1881,2170.0
1882,2349.0
1883,2340.0
1884,2357.0
1885,2221.0
1886,2290.0
1887,2427.0
1888,2282.0
1889,2362.0
1890,2535.0
1891,2649.0
1892,2620.0
1893,2689.0
1894,2596.0
1895,2882.0
1896,2946.0
1897,2800.0
1898,3147.0
1899,3023.0
1900,2953.0
1901,2979.0
1902,3142.0
1903,2949.0
1904,3180.0
1905,3026.0
1906,3198.0
1907,3322.0
1908,3506.0
1909,3525.0
1910,3911.0
1911,3907.0
1912,4192.0
1913,4217.0
1914,3550.0
1915,3324.0
1916,4012.0
1917,4029.0
1918,4013.0
1919,3360.0
1920,3705.0
1921,3250.0
1922,3327.0
1923,3936.0
1924,4167.0
1925,4276.0
1926,4101.0
1927,3964.0
1928,4891.0
1929,4953.0
1930,4252.0
1931,3404.0
1932,2573.0
1933,3155.0
1934,3722.0
1935,3933.0
1936,3998.0
1937,4433.0
1938,4422.0
1939,4452.0
1940,4515.0
1941,4439.0
1942,4501.0
1943,4543.0
1944,4543.0
1945,4844.0
1946,5162.0
1947,4523.0
1948,5180.0
1949,4980.0
1950,5128.0
1951,5234.0
1952,5452.0
1953,5739.0
1954,5439.0
1955,5530.0
1956,5480.0
1957,5893.0
1958,6067.0
1959,5589.0
1960,5913.0
1961,6038.0
1962,6166.0
1963,6396.0
1964,6383.0
1965,6286.0
1966,6841.0
1967,6918.0
1968,7022.0
1969,7140.0
1970,7146.0
1971,7651.0
1972,7430.0
1973,6899.0
1974,6851.0
1975,5870.0
1976,5989.0
1977,6486.0
1978,6921.0
1979,7390.0
1980,7869.0
1981,8221.0
1982,6990.0
1983,6687.0
1984,6970.0
1985,6998.0
1986,7260.0
1987,7605.0
1988,8022.0
1989,8725.0
1990,8898.0
1991,9433.0
1992,10402.0
1993,10935.0
1994,11362.0
1995,12357.0
1996,13089.0
1997,13765.0
1998,14019.0
1999,13729.0
2000,14159.0
2001,14473.0
2002,14626.0
2003,15006.0
2004,15744.0
2005,16480.0
2006,17346.0
2007,18012.0
2008,18440.0
2009,17949.0
2010,18787.0
2011,19705.0
2012,20531.0
2013,21135.0
2014,21335.0
